lineage	S1_mutations
A	0.
A.1	0.
A.18	1.
A.19	1.
A.2	0.
A.21	1.
A.23	3.
A.23.1	4.
A.2.5	2.
A.25	0.
A.2.5.1	2.
A.2.5.2	2.
A.2.5.3	3.
A.27	5.
A.28	2.
A.29	5.
A.3	0.
A.5	0.
AD.2	1.
AE.1	1.
AE.8	1.
AT.1	4.
AU.2	3.
AU.3	3.
AY.1	10.
AY.10	8.
AY.100	8.
AY.101	8.
AY.102	8.
AY.102.1	9.
AY.102.2	9.
AY.103	7.
AY.104	9.
AY.105	8.
AY.106	9.
AY.107	8.
AY.108	8.
AY.109	7.
AY.11	8.
AY.110	8.
AY.111	8.
AY.112	8.
AY.113	8.
AY.114	8.
AY.116	8.
AY.116.1	8.
AY.117	8.
AY.118	8.
AY.119	8.
AY.119.1	9.
AY.119.2	9.
AY.120	8.
AY.120.1	8.
AY.120.2	9.
AY.120.2.1	9.
AY.121	8.
AY.121.1	9.
AY.122	7.
AY.122.1	7.
AY.122.2	8.
AY.122.3	8.
AY.123	7.
AY.123.1	7.
AY.124	8.
AY.124.1	8.
AY.125	8.
AY.126	8.
AY.127	8.
AY.127.1	8.
AY.128	8.
AY.129	8.
AY.13	7.
AY.131	10.
AY.132	8.
AY.133	11.
AY.14	7.
AY.15	7.
AY.16	7.
AY.16.1	7.
AY.17	7.
AY.19	7.
AY.2	10.
AY.20	8.
AY.20.1	8.
AY.22	10.
AY.23	7.
AY.23.1	7.
AY.24	8.
AY.25	7.
AY.25.1	7.
AY.25.1.1	8.
AY.26	8.
AY.26.1	10.
AY.27	8.
AY.28	8.
AY.29	8.
AY.29.1	9.
AY.3	7.
AY.30	7.
AY.3.1	8.
AY.3.2	9.
AY.32	8.
AY.3.3	9.
AY.33	9.
AY.33.1	13.
AY.34	9.
AY.34.1	9.
AY.34.1.1	10.
AY.34.2	9.
AY.35	9.
AY.36	8.
AY.37	8.
AY.38	9.
AY.39	8.
AY.39.1	8.
AY.39.1.1	8.
AY.39.1.2	8.
AY.39.1.3	9.
AY.39.2	9.
AY.4	8.
AY.40	8.
AY.4.1	9.
AY.41	9.
AY.4.10	8.
AY.4.2	10.
AY.42	8.
AY.4.2.1	11.
AY.42.1	8.
AY.4.2.2	10.
AY.4.2.3	10.
AY.4.3	9.
AY.43	9.
AY.43.1	10.
AY.43.2	10.
AY.43.3	9.
AY.43.4	9.
AY.43.5	10.
AY.43.6	9.
AY.43.7	10.
AY.4.4	8.
AY.44	7.
AY.4.5	8.
AY.45	7.
AY.4.6	8.
AY.46	7.
AY.46.1	7.
AY.46.2	7.
AY.46.3	8.
AY.46.4	8.
AY.46.5	7.
